id,model,brand,weight,released,operatingSystem,platform,deviceCategory
1,MyPal A620,Asus,141 g,2003 Jun,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
2,Jornada 720,Hewlett-Packard,510 g,2000 Sep,Microsoft Handheld PC 2000 (Galileo),Windows (mobile-class),Palmtop
3,iPAQ H3630 / H3635 / H3650,Compaq,174 g,2000 Aug.,Microsoft Pocket PC 2000 (Rapier),Windows (mobile-class),PDA
4,Cassiopeia E-200,Casio,190 g,2001 Dec,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
5,Jornada 728,Hewlett-Packard,515 g,2002 Jan.,Microsoft Handheld PC 2000 (Galileo),Windows (mobile-class),Palmtop
6,SPH-i700,Samsung,162 g,2003 Mar,Microsoft Pocket PC 2002 Phone Edition (Merlin),Windows (mobile-class),Smartphone
7,MobilePro 800,NEC,1134 g,1999 Dec,Microsoft Handheld PC 3.0 Professional Edition (Jupiter),Windows (mobile-class),Notebook
8,MobilePro 880,NEC,1180 g,2000 Jun 6,Microsoft Handheld PC 3.01 Professional Edition (Jupiter),Windows (mobile-class),Notebook
9,Cassiopeia E-100,Casio,255 g,1999 May,Microsoft Palm-size PC 1.2 Color (Wyvern),Windows (mobile-class),PDA
10,Cassiopeia E-105,Casio,255 g,2000 Jan.,Microsoft Palm-size PC 1.2 Color (Wyvern),Windows (mobile-class),PDA
11,Cassiopeia E-115,Casio,255 g,2000 May,Microsoft Pocket PC 2000 (Rapier),Windows (mobile-class),PDA
12,Cassiopeia E-125,Casio,250 g,2000 May,Microsoft Pocket PC 2000 (Rapier),Windows (mobile-class),PDA
13,Jornada 710,Hewlett-Packard,510 g,2000 Oct,Microsoft Handheld PC 2000 (Galileo),Windows (mobile-class),Palmtop
14,Jornada 680,Hewlett-Packard,510 g,1999 Apr.,Microsoft Handheld PC 3.0 Professional Edition (Jupiter),Windows (mobile-class),Palmtop
15,Jornada 690,Hewlett-Packard,510 g,1999 Nov.,Microsoft Handheld PC 3.0 Professional Edition (Jupiter),Windows (mobile-class),Palmtop
16,Jornada 820,Hewlett-Packard,1115 g,1999 Jan.,Microsoft Handheld PC 3.0 Professional Edition (Jupiter),Windows (mobile-class),Subnotebook
17,Gigaset CL4 SIMpad,Siemens,950 g,2001 Jun,Microsoft Handheld PC 2000 (Galileo),Windows (mobile-class),Tablet
18,iPAQ H3660 / H3670,Compaq,174 g,2001 Mar,Microsoft Pocket PC 2000 (Rapier),Windows (mobile-class),PDA
19,iPAQ H3760 / H3765,Compaq,174 g,2001 Dec,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
20,iPAQ H3830 / H3835 / H3840 / H3850,Compaq,190 g,2002 Feb.,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
21,iPAQ H3870 / H3875,Compaq,190 g,2002 Mar,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
22,iPAQ H3130 / H3135 / H3150,Compaq,163 g,2000 Jul,Microsoft Pocket PC 2000 (Rapier),Windows (mobile-class),PDA
23,iPAQ H3950 / H3955,Hewlett-Packard,184 g,2002 Aug.,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
24,iPAQ H3970 / H3975,Hewlett-Packard,184 g,2002 Aug.,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
25,iPAQ H5150 / H5155,Hewlett-Packard,187 g,2003 Jul,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
26,iPAQ H5450 / H5455,Hewlett-Packard,206 g,2002 Dec,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
27,iPAQ H5550 / H5555,Hewlett-Packard,207 g,2003 Jul,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
28,Genio e310,Toshiba,140 g,2002 Sep,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
29,Genio e330,Toshiba,144.5 g,2002 Oct,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
30,Genio e350,Toshiba,149 g,2003 Mar,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
31,e400,Toshiba,137 g,2003 Oct,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
32,e740,Toshiba,140 g,2002 Sep,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
33,e750 / e755,Toshiba,200 g,2003 Mar,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
34,e800 / e805,Toshiba,192 g,2003 Nov.,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
35,e800w,Toshiba,198 g,2004 Jan. 4,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
36,MobilePro 900,NEC,830 g,2003 May,Microsoft Handheld PC 2000 (Galileo),Windows (mobile-class),Palmtop
37,MyPal A600,Asus,138 g,2002 Aug.,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
38,MyPal A620BT,Asus,141 g,2003 Oct,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
39,MyPal A716,Asus,197 g,2003 Dec,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
40,MyPal A730,Asus,170 g,2004 Jun,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
41,MyPal A730w,Asus,170 g,2004 Dec,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
42,P505,Asus,170 g,2005 Apr.,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
43,Aero 1500 / 1520,Compaq,143 g,1998 Dec,Microsoft Palm-size PC 1.0 (Gryphon),Windows (mobile-class),PDA
44,Aero 1530 / 1550,Compaq,143 g,1999 Sep,Microsoft Palm-size PC 1.2 Color (Wyvern),Windows (mobile-class),PDA
45,Aero 2100 / 2110,Compaq,260 g,1999 Jan.,Microsoft Palm-size PC 1.2 Color (Wyvern),Windows (mobile-class),PDA
46,Aero 2120 / 2130,Compaq,260 g,1999 Apr.,Microsoft Palm-size PC 1.2 Color (Wyvern),Windows (mobile-class),PDA
47,Aero 2150 / 2160 / 2180,Compaq,260 g,1999 Dec,Microsoft Palm-size PC 1.2 Color (Wyvern),Windows (mobile-class),PDA
48,SX45,Siemens,295 g,2001 Sep,Microsoft Pocket PC 2000 (Rapier),Windows (mobile-class),Smartphone
49,SX45i,Siemens,303 g,2002 Mar,Microsoft Pocket PC 2000 (Rapier),Windows (mobile-class),Smartphone
50,Cassiopeia E-15,Casio,185 g,1999 May,Microsoft Palm-size PC 1.2 Color (Wyvern),Windows (mobile-class),PDA
51,Cassiopeia E-10,Casio,182 g,1998 Sep,Microsoft Palm-size PC 1.0 (Gryphon),Windows (mobile-class),PDA
52,Cassiopeia E-11,Casio,184 g,1998 Nov.,Microsoft Palm-size PC 1.0 (Gryphon),Windows (mobile-class),PDA
53,iPAQ H1910  / H1915,Hewlett-Packard,120 g,2002 Dec,Microsoft Pocket PC 2002 Professional Edition (Merlin),Windows (mobile-class),PDA
54,iPAQ H1930 / H1935,Hewlett-Packard,124 g,2003 Sep,Microsoft Windows Mobile 2003 for Pocket PC Professional Edition (Ozone),Windows (mobile-class),PDA
55,iPAQ H1940 / H1945,Hewlett-Packard,124 g,2003 Jun,Microsoft Windows Mobile 2003 for Pocket PC Professional Edition (Ozone),Windows (mobile-class),PDA
56,iPAQ H2210 / H2212 / H2212e / H2215,Hewlett-Packard,144.2 g,2003 Jun,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
57,iPAQ H4150 / H4155,Hewlett-Packard,132 g,2003 Oct,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
58,iPAQ H4350 / H4355,Hewlett-Packard,165 g,2003 Oct,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
59,Mio 338 Digi-Walker,MiTAC,118 g,2002 Nov.,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
60,Mio 338 Plus Digi-Walker,MiTAC,118 g,2003 Jun,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
61,Mio 339 Digi-Walker,MiTAC,170 g,2003 May,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
62,Mio 558 Digi-Walker,MiTAC,170 g,2003 Jun,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
63,Mio 168 Digi-Walker,MiTAC,147 g,2003 Dec,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
64,Mio 336 Digi-Walker,MiTAC,118 g,2004 Jan.,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
65,Mio 336BT Digi-Walker,MiTAC,118 g,2004 Sep,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
66,MDA II,T-Mobile,185 g,2003 Aug.,Microsoft Windows Mobile 2003 for Pocket PC Phone Edition (Ozone),Windows (mobile-class),Smartphone
67,Pocket PC Phone Edition,I-Mate,185 g,2003 Sep,Microsoft Windows Mobile 2003 for Pocket PC Phone Edition (Ozone),Windows (mobile-class),Smartphone
